Date,L Income,L 2020,L 2030,L 2040,L 2050,G Fund,F Fund,C Fund,S Fund,I Fund
2019-03-07 0:00:00,20.1641,27.6645,31.4569,34.1576,19.7347,16.07,18.401,39.5806,50.1115,28.8526
2019-03-08 0:00:00,20.1542,27.6438,31.4049,34.0895,19.6895,16.0712,18.4127,39.5004,50.0195,28.7214
2019-03-11 0:00:00,20.213,27.7568,31.6628,34.4227,19.9087,16.0749,18.4032,40.0798,50.8317,29.0374
2019-03-12 0:00:00,20.2264,27.7808,31.7114,34.4842,19.9481,16.0761,18.4492,40.2001,50.9246,29.073
2019-03-13 0:00:00,20.2509,27.8282,31.8201,34.6245,20.0402,16.0773,18.4437,40.4825,51.1751,29.1916
2019-03-14 0:00:00,20.2528,27.8318,31.8283,34.6347,20.0468,16.0785,18.4211,40.4607,51.0778,29.281
2019-03-15 0:00:00,20.2803,27.8836,31.9436,34.7828,20.1433,16.0797,18.4552,40.6644,51.1822,29.5254
2019-03-18 0:00:00,20.3029,27.9252,32.0337,34.8987,20.2195,16.0834,18.4609,40.8156,51.4784,29.6783
2019-03-19 0:00:00,20.3068,27.9322,32.0476,34.9155,20.2297,16.0846,18.4548,40.8118,51.2388,29.7996
2019-03-20 0:00:00,20.2941,27.904,31.9714,34.8142,20.1612,16.0858,18.5202,40.6933,50.9036,29.6298
2019-03-21 0:00:00,20.3301,27.9737,32.1324,35.0233,20.2993,16.087,18.5326,41.1396,51.6121,29.6904
2019-03-22 0:00:00,20.2563,27.8246,31.7687,34.5466,19.9816,16.0882,18.616,40.3623,50.0398,29.2352
2019-03-25 0:00:00,20.2584,27.8248,31.758,34.5308,19.9704,16.0919,18.6585,40.3313,50.1025,29.1728
2019-03-26 0:00:00,20.2922,27.8899,31.9076,34.7247,20.0982,16.0931,18.6686,40.6206,50.5769,29.4015
2019-03-27 0:00:00,20.2828,27.8694,31.8532,34.6531,20.0502,16.0943,18.7072,40.4325,50.3422,29.3937
2019-03-28 0:00:00,20.2885,27.8802,31.8784,34.6864,20.0729,16.0955,18.6955,40.584,50.7776,29.2442
2019-03-29 0:00:00,20.3161,27.9324,31.9949,34.8362,20.171,16.0992,18.6777,40.8589,51.0083,29.4096
2019-04-01 0:00:00,20.3607,28.0215,32.2087,35.1144,20.3552,16.1004,18.6089,41.3319,51.6151,29.737
2019-04-02 0:00:00,20.3621,28.0229,32.208,35.1126,20.3535,16.1015,18.6242,41.3338,51.5603,29.7338
2019-04-03 0:00:00,20.3849,28.0658,32.3148,35.2523,20.4464,16.1026,18.5942,41.4234,51.8285,30.0589
2019-04-04 0:00:00,20.3877,28.0699,32.3212,35.2596,20.4507,16.1037,18.6053,41.5188,51.872,29.9679
2019-04-05 0:00:00,20.4062,28.1033,32.3999,35.3621,20.5186,16.1048,18.6228,41.7117,52.2951,30.0002
2019-04-08 0:00:00,20.4133,28.1148,32.422,35.3894,20.5359,16.1081,18.6118,41.7561,52.2674,30.054
2019-04-09 0:00:00,20.3952,28.0799,32.3303,35.2683,20.4548,16.1092,18.6319,41.5155,51.7424,30.0101
2019-04-10 0:00:00,20.4109,28.1081,32.3965,35.3553,20.513,16.1103,18.6545,41.6636,52.3245,29.9954
2019-04-11 0:00:00,20.4109,28.1079,32.3958,35.3543,20.5125,16.1114,18.6369,41.6653,52.3529,29.99
2019-04-12 0:00:00,20.4323,28.148,32.4961,35.4848,20.5989,16.1125,18.6002,41.9452,52.6328,30.0904
2019-04-15 0:00:00,20.4396,28.1594,32.5157,35.5085,20.6136,16.1159,18.6098,41.9196,52.5078,30.2177
2019-04-16 0:00:00,20.4428,28.1656,32.532,35.5297,20.6279,16.117,18.5778,41.941,52.5383,30.2739
2019-04-17 0:00:00,20.4359,28.1518,32.4936,35.4777,20.5921,16.1181,18.5825,41.8493,52.0369,30.3122
2019-04-18 0:00:00,20.4369,28.1521,32.4886,35.47,20.5862,16.1192,18.6115,41.917,52.058,30.1952
2019-04-22 0:00:00,20.4406,28.1571,32.4936,35.4746,20.5884,16.1236,18.5847,41.9605,51.9646,30.1953
2019-04-23 0:00:00,20.4721,28.2148,32.6323,35.6556,20.7085,16.1247,18.607,42.3335,52.6952,30.2306
2019-04-24 0:00:00,20.4685,28.2061,32.6038,35.6179,20.6832,16.1258,18.6542,42.2407,52.7449,30.161
2019-04-25 0:00:00,20.4603,28.1902,32.5616,35.5613,20.6447,16.1269,18.6476,42.2246,52.3977,30.0736
2019-04-26 0:00:00,20.4829,28.2308,32.6568,35.6852,20.7267,16.128,18.6816,42.4239,52.8634,30.1558
2019-04-29 0:00:00,20.4894,28.2418,32.6803,35.7151,20.7466,16.1314,18.6532,42.4711,53.0014,30.1829
2019-04-30 0:00:00,20.4976,28.2556,32.7081,35.75,20.7686,16.1325,18.6814,42.513,52.8924,30.2693
2019-05-01 0:00:00,20.4807,28.2233,32.6248,35.6404,20.6956,16.1336,18.6865,42.194,52.4054,30.3392
2019-05-02 0:00:00,20.465,28.1947,32.5568,35.5527,20.6384,16.1347,18.6441,42.1061,52.4748,30.1342
2019-05-03 0:00:00,20.5038,28.2657,32.7288,35.7773,20.7875,16.1358,18.6694,42.5164,53.3122,30.252
2019-05-06 0:00:00,20.4894,28.2362,32.6463,35.6687,20.7154,16.1391,18.6961,42.3297,53.2826,30.0655
2019-05-07 0:00:00,20.4309,28.1255,32.3645,35.2995,20.4699,16.1402,18.7341,41.6317,52.2676,29.7588
2019-05-08 0:00:00,20.4215,28.1079,32.3215,35.2431,20.4325,16.1413,18.7061,41.5661,52.1015,29.6879
2019-05-09 0:00:00,20.4015,28.0697,32.2234,35.115,20.3477,16.1424,18.7199,41.4543,52.0146,29.3851
2019-05-10 0:00:00,20.4175,28.0987,32.2915,35.2027,20.4051,16.1436,18.7272,41.623,52.1453,29.4702
2019-05-13 0:00:00,20.3322,27.9367,31.8799,34.6641,20.0474,16.1469,18.7701,40.6193,50.5459,29.0545
2019-05-14 0:00:00,20.3679,28.0028,32.042,34.8756,20.1877,16.148,18.7626,40.9502,51.1996,29.268
2019-05-15 0:00:00,20.3949,28.0512,32.1537,35.0193,20.2815,16.1491,18.8004,41.1975,51.4292,29.4192
2019-05-16 0:00:00,20.4273,28.1115,32.3012,35.2105,20.4076,16.1502,18.779,41.5758,51.86,29.5749
2019-05-17 0:00:00,20.4081,28.0745,32.2058,35.0848,20.3234,16.1513,18.7892,41.3373,51.2528,29.5404
2019-05-20 0:00:00,20.3859,28.0317,32.0949,34.9392,20.2268,16.1547,18.771,41.0591,50.8327,29.4425
2019-05-21 0:00:00,20.4151,28.0859,32.2278,35.1125,20.3417,16.1558,18.7592,41.4088,51.4876,29.5082
2019-05-22 0:00:00,20.4048,28.0652,32.171,35.0371,20.2909,16.1569,18.7858,41.2926,51.132,29.4487
2019-05-23 0:00:00,20.3618,27.9822,31.9542,34.7522,20.1007,16.158,18.8707,40.8045,50.2217,29.1747
2019-05-24 0:00:00,20.3785,28.0135,32.033,34.8556,20.1698,16.1591,18.8391,40.8663,50.5245,29.3959
2019-05-28 0:00:00,20.3643,27.9831,31.9437,34.7374,20.0907,16.1636,18.8923,40.524,50.1794,29.4048
2019-05-29 0:00:00,20.3276,27.9137,31.7688,34.5093,19.9398,16.1647,18.9141,40.2442,49.7854,29.0128
2019-05-30 0:00:00,20.3328,27.9221,31.7841,34.5278,19.951,16.1658,18.9347,40.3344,49.7279,28.9851
2019-05-31 0:00:00,20.2976,27.8539,31.6076,34.2979,19.7989,16.1669,19.0127,39.8099,49.1973,28.8507
2019-06-03 0:00:00,20.3044,27.8631,31.617,34.3083,19.8049,16.1703,19.0732,39.7004,49.2064,28.963
2019-06-04 0:00:00,20.3831,28.0098,31.9765,34.775,20.1128,16.1712,19.0342,40.5531,50.4744,29.3405
2019-06-05 0:00:00,20.4087,28.0566,32.0874,34.9172,20.2055,16.1722,19.0336,40.8891,50.6448,29.4248
2019-06-06 0:00:00,20.4252,28.0866,32.1577,35.007,20.2637,16.1732,19.0331,41.1511,50.6946,29.4422
2019-06-07 0:00:00,20.4741,28.1754,32.367,35.277,20.4404,16.1742,19.0842,41.5869,51.0655,29.783
2019-06-10 0:00:00,20.492,28.2082,32.4459,35.3793,20.5081,16.1772,19.0401,41.7809,51.3843,29.8635
2019-06-11 0:00:00,20.5011,28.2245,32.4827,35.4262,20.5384,16.1782,19.0457,41.7682,51.231,30.0686
2019-06-12 0:00:00,20.4928,28.2081,32.4394,35.3696,20.501,16.1792,19.0568,41.6838,51.2165,29.9614
2019-06-13 0:00:00,20.5046,28.2287,32.4847,35.4283,20.5397,16.1802,19.0938,41.867,51.6273,29.8488
2019-06-14 0:00:00,20.4907,28.2021,32.4168,35.3386,20.4796,16.1812,19.0863,41.8053,51.261,29.7038
2019-06-17 0:00:00,20.4952,28.2086,32.4259,35.3496,20.4867,16.1842,19.0966,41.8444,51.4774,29.6377
2019-06-18 0:00:00,20.5391,28.2888,32.6175,35.5982,20.6505,16.1852,19.1331,42.2524,52.0455,29.8961
2019-06-19 0:00:00,20.5648,28.3348,32.7236,35.7354,20.7406,16.1862,19.1811,42.3785,52.2771,30.1458
2019-06-20 0:00:00,20.6097,28.4165,32.9176,35.9863,20.905,16.1871,19.2282,42.7838,52.5812,30.4769
2019-06-21 0:00:00,20.5944,28.3889,32.8522,35.9002,20.8477,16.1881,19.1695,42.7321,52.194,30.3625
2019-06-24 0:00:00,20.598,28.3919,32.8448,35.8868,20.8363,16.1911,19.2318,42.6585,51.6742,30.4877
2019-06-25 0:00:00,20.5725,28.3437,32.7225,35.7271,20.7306,16.1921,19.2385,42.2532,51.2579,30.4602
2019-06-26 0:00:00,20.5595,28.3202,32.6673,35.6552,20.6833,16.1931,19.1898,42.2009,51.1451,30.3204
2019-06-27 0:00:00,20.5864,28.3685,32.7813,35.8048,20.7832,16.1941,19.2419,42.3687,51.9295,30.4288
2019-06-28 0:00:00,20.6161,28.422,32.907,35.9684,20.8916,16.1971,19.2519,42.6144,52.5433,30.5648
2019-07-01 0:00:00,20.643,28.4722,33.031,36.1296,20.9981,16.1981,19.2295,42.9418,52.8302,30.7116
2019-07-02 0:00:00,20.657,28.4952,33.081,36.1926,21.0381,16.199,19.2831,43.0696,52.7078,30.7977
2019-07-03 0:00:00,20.6892,28.551,33.2204,36.374,21.1578,16.2,19.3133,43.41,53.1694,30.9326
2019-07-05 0:00:00,20.6719,28.5215,33.1502,36.2833,21.099,16.2019,19.2242,43.3355,53.2476,30.7217
2019-07-08 0:00:00,20.653,28.4863,33.0488,36.1487,21.0086,16.2047,19.2424,43.127,52.8064,30.5749
2019-07-09 0:00:00,20.6502,28.4816,33.0375,36.1342,20.9994,16.2057,19.2178,43.1935,52.9733,30.4279
2019-07-10 0:00:00,20.6651,28.5074,33.1014,36.2167,21.0534,16.2066,19.2199,43.389,53.0674,30.4821
2019-07-11 0:00:00,20.6692,28.5151,33.1246,36.2465,21.0729,16.2075,19.1677,43.4882,52.982,30.5268
2019-07-12 0:00:00,20.6873,28.5465,33.2028,36.3487,21.1407,16.2085,19.1817,43.693,53.3841,30.5562
2019-07-15 0:00:00,20.6926,28.554,33.213,36.3599,21.147,16.2113,19.2003,43.7008,53.2473,30.6065
2019-07-16 0:00:00,20.6805,28.5327,33.1586,36.2891,21.1005,16.2123,19.175,43.5534,53.1533,30.5506
2019-07-17 0:00:00,20.6651,28.5038,33.0744,36.1782,21.0264,16.2132,19.2354,43.2693,52.9032,30.4942
2019-07-18 0:00:00,20.6799,28.529,33.1347,36.2563,21.0777,16.2142,19.2595,43.4289,53.08,30.5394
2019-07-19 0:00:00,20.6622,28.4975,33.0514,36.1474,21.0056,16.2151,19.2532,43.1621,52.8048,30.5121
2019-07-22 0:00:00,20.6704,28.5104,33.0759,36.1774,21.0244,16.2179,19.2672,43.2857,52.8019,30.4783
2019-07-23 0:00:00,20.6944,28.5526,33.1861,36.3212,21.1198,16.2189,19.2439,43.5827,53.1709,30.5801
2019-07-24 0:00:00,20.7175,28.5926,33.2862,36.4528,21.2078,16.2198,19.2715,43.7887,53.8958,30.6199
2019-07-25 0:00:00,20.6943,28.5517,33.1793,36.3122,21.114,16.2208,19.2485,43.5585,53.3664,30.5195
2019-07-26 0:00:00,20.714,28.586,33.2672,36.4273,21.1906,16.2217,19.2472,43.8802,53.8984,30.4527
2019-07-29 0:00:00,20.7104,28.5777,33.2348,36.3824,21.1593,16.2246,19.2739,43.8099,53.5587,30.4391
2019-07-30 0:00:00,20.6974,28.5547,33.1751,36.3058,21.1097,16.2255,19.2648,43.7009,53.855,30.2227
2019-07-31 0:00:00,20.656,28.4805,32.9771,36.0468,20.938,16.2264,19.2925,43.2268,53.4025,29.9259
2019-08-01 0:00:00,20.6373,28.4442,32.8648,35.8969,20.8363,16.2274,19.4181,42.8415,52.6499,29.9303
2019-08-02 0:00:00,20.6022,28.3814,32.6966,35.6758,20.6888,16.2283,19.4366,42.5336,52.0076,29.6484
2019-08-05 0:00:00,20.4933,28.1859,32.1732,34.9911,20.2344,16.2312,19.5331,41.2675,50.4516,28.9686
2019-08-06 0:00:00,20.5293,28.2489,32.3327,35.1981,20.3709,16.2321,19.5381,41.8089,51.0606,28.9621
2019-08-07 0:00:00,20.5439,28.2731,32.3866,35.2672,20.4158,16.233,19.5914,41.8421,51.1701,29.1043
2019-08-08 0:00:00,20.6133,28.3954,32.7013,35.6766,20.6863,16.234,19.564,42.6384,52.2634,29.4026
2019-08-09 0:00:00,20.5875,28.3498,32.5831,35.5219,20.5836,16.2349,19.5487,42.3629,51.7027,29.3106
2019-08-12 0:00:00,20.5512,28.2825,32.3918,35.2699,20.4152,16.2378,19.6418,41.8632,50.9681,29.1065
2019-08-13 0:00:00,20.5901,28.3515,32.5713,35.5029,20.5688,16.2387,19.5982,42.4836,51.5172,29.1438
2019-08-14 0:00:00,20.4851,28.1644,32.0803,34.8635,20.1461,16.2397,19.6821,41.2506,50.0517,28.587
2019-08-15 0:00:00,20.4978,28.185,32.1242,34.9186,20.1811,16.2406,19.7355,41.3601,49.965,28.6559
2019-08-16 0:00:00,20.5543,28.2841,32.3755,35.2452,20.3966,16.2415,19.7358,41.9637,50.9286,28.8869
2019-08-19 0:00:00,20.6005,28.3652,32.5819,35.5119,20.572,16.2444,19.6764,42.4739,51.3932,29.1612
2019-08-20 0:00:00,20.58,28.3278,32.4796,35.3784,20.4837,16.2453,19.7177,42.1407,51.0747,29.1112
2019-08-21 0:00:00,20.6118,28.3837,32.6223,35.5638,20.606,16.2463,19.7062,42.4904,51.5026,29.2741
2019-08-22 0:00:00,20.6034,28.3693,32.5867,35.5174,20.5755,16.2472,19.6722,42.4696,51.4369,29.1725
2019-08-23 0:00:00,20.5228,28.2251,32.2047,35.019,20.2454,16.2481,19.7526,41.3685,50.1017,28.9105
2019-08-26 0:00:00,20.5562,28.283,32.349,35.2053,20.3678,16.251,19.7297,41.8277,50.53,28.9712
2019-08-27 0:00:00,20.5559,28.2806,32.3325,35.1815,20.3503,16.2519,19.7906,41.6933,50.0341,29.1217
2019-08-28 0:00:00,20.5741,28.3117,32.4076,35.2784,20.4139,16.2529,19.8146,41.9681,50.4062,29.0641
2019-08-29 0:00:00,20.6181,28.3897,32.6094,35.5411,20.5876,16.2538,19.7771,42.5076,51.1661,29.217
2019-08-30 0:00:00,20.632,28.4128,32.6621,35.6083,20.6313,16.2557,19.7948,42.5403,51.1623,29.3958
2019-09-03 0:00:00,20.6115,28.3745,32.5518,35.4623,20.5333,16.2586,19.8318,42.2497,50.5547,29.3312
2019-09-04 0:00:00,20.6596,28.4587,32.7649,35.739,20.7155,16.2593,19.8462,42.7119,51.0723,29.6495
